"","x"
"1",37
"2",195
"3",12
"4",57
"5",63
"6",221
"7",27
"8",204
"9",41
"10",200
"11",105
"12",124
"13",54
"14",82
"15",172
"16",186
"17",148
"18",144
"19",58
"20",5
"21",83
"22",165
"23",18
"24",52
"25",53
"26",138
"27",142
"28",143
"29",134
"30",30
"31",176
"32",100
"33",90
"34",156
"35",98
"36",212
"37",196
"38",107
"39",24
"40",44
"41",211
"42",91
"43",118
"44",1
"45",4
"46",28
"47",51
"48",99
"49",114
"50",79
"51",14
"52",2
"53",224
"54",22
"55",93
"56",173
"57",55
"58",168
"59",95
"60",193
"61",8
"62",205
"63",170
"64",160
"65",73
"66",133
"67",184
"68",84
"69",192
"70",131
"71",163
"72",61
"73",174
"74",141
"75",206
"76",229
"77",166
"78",187
"79",117
"80",38
"81",74
"82",208
"83",151
"84",89
"85",190
"86",104
"87",85
"88",9
"89",136
"90",17
"91",150
"92",181
"93",108
"94",25
"95",223
"96",40
"97",127
"98",203
"99",101
"100",171
"101",119
"102",3
"103",182
"104",103
"105",29
"106",149
"107",158
"108",202
"109",75
"110",33
"111",112
"112",232
"113",115
"114",13
"115",231
"116",209
"117",179
"118",191
"119",128
"120",157
"121",129
"122",121
"123",106
"124",72
"125",180
"126",219
"127",20
"128",39
"129",31
"130",10
"131",76
"132",197
"133",42
"134",183
"135",194
"136",19
"137",16
"138",15
"139",26
"140",87
"141",94
"142",120
"143",36
"144",96
"145",145
"146",175
"147",198
"148",56
"149",71
"150",92
"151",110
"152",222
"153",199
"154",153
"155",81
"156",155
"157",86
"158",102
"159",147
"160",215
"161",109
"162",227
"163",159
"164",113
"165",154
"166",216
"167",126
"168",185
"169",6
"170",228
"171",125
"172",226
"173",137
"174",225
"175",146
"176",43
"177",167
"178",97
"179",189
"180",213
"181",164
"182",130
"183",111
"184",34
"185",140
"186",69
